year,quarter,market,ending_occupancy_proportion,starting_occupancy_proportion,avg_occupancy_proportion
2020,Q1,Washington D.C.,0.19,0.98,0.785714286
2020,Q1,Manhattan,0.08,0.98,0.732857143
2020,Q1,Chicago,0.14,0.99,0.788571429
2020,Q1,Houston,0.33,0.99,0.835714286
2020,Q1,Philadelphia,0.2,0.99,0.817142857
2020,Q1,San Francisco,0.09,0.99,0.718571429
2020,Q1,Los Angeles,0.29,0.99,0.831428571
2020,Q1,Dallas/Ft Worth,0.33,0.99,0.838571429
2020,Q1,South Bay/San Jose,0.15,0.98,0.751428571
2020,Q1,Austin,0.26,0.98,0.82
2020,Q2,Washington D.C.,0.17,0.15,0.143076923
2020,Q2,Manhattan,0.08,0.05,0.052307692
2020,Q2,Chicago,0.16,0.1,0.114615385
2020,Q2,Houston,0.32,0.23,0.272307692
2020,Q2,Philadelphia,0.21,0.17,0.172307692
2020,Q2,San Francisco,0.12,0.08,0.090769231
2020,Q2,Los Angeles,0.3,0.23,0.243076923
2020,Q2,Dallas/Ft Worth,0.35,0.22,0.272307692
2020,Q2,South Bay/San Jose,0.15,0.13,0.130769231
2020,Q2,Austin,0.27,0.22,0.249230769
2020,Q3,Washington D.C.,0.22,0.18,0.196428571
2020,Q3,Manhattan,0.14,0.09,0.111428571
2020,Q3,Chicago,0.2,0.17,0.183571429
2020,Q3,Houston,0.33,0.26,0.269285714
2020,Q3,Philadelphia,0.26,0.23,0.240714286
2020,Q3,San Francisco,0.13,0.12,0.122142857
2020,Q3,Los Angeles,0.28,0.3,0.277142857
2020,Q3,Dallas/Ft Worth,0.39,0.33,0.347857143
2020,Q3,South Bay/San Jose,0.17,0.16,0.159285714
2020,Q3,Austin,0.33,0.28,0.297142857
2020,Q4,Washington D.C.,0.14,0.22,0.201538462
2020,Q4,Manhattan,0.09,0.16,0.139230769
2020,Q4,Chicago,0.13,0.2,0.178461538
2020,Q4,Houston,0.22,0.34,0.334615385
2020,Q4,Philadelphia,0.18,0.27,0.241538462
2020,Q4,San Francisco,0.09,0.13,0.123846154
2020,Q4,Los Angeles,0.2,0.28,0.273076923
2020,Q4,Dallas/Ft Worth,0.27,0.4,0.373846154
2020,Q4,South Bay/San Jose,0.11,0.18,0.161538462
2020,Q4,Austin,0.24,0.34,0.333076923
2021,Q1,Washington D.C.,0.21,0.16,0.192307692
2021,Q1,Manhattan,0.14,0.11,0.13
2021,Q1,Chicago,0.19,0.15,0.180769231
2021,Q1,Houston,0.37,0.28,0.318461538
2021,Q1,Philadelphia,0.25,0.21,0.234615385
2021,Q1,San Francisco,0.13,0.09,0.120769231
2021,Q1,Los Angeles,0.22,0.22,0.257692308
2021,Q1,Dallas/Ft Worth,0.39,0.31,0.334615385
2021,Q1,South Bay/San Jose,0.17,0.12,0.151538462
2021,Q1,Austin,0.37,0.28,0.317692308
2021,Q2,Washington D.C.,0.27,0.2,0.238461538
2021,Q2,Manhattan,0.21,0.13,0.174615385
2021,Q2,Chicago,0.27,0.19,0.236153846
2021,Q2,Houston,0.49,0.34,0.426153846
2021,Q2,Philadelphia,0.29,0.24,0.271538462
2021,Q2,San Francisco,0.19,0.13,0.158461538
2021,Q2,Los Angeles,0.28,0.22,0.243846154
2021,Q2,Dallas/Ft Worth,0.5,0.38,0.440769231
2021,Q2,South Bay/San Jose,0.22,0.16,0.186153846
2021,Q2,Austin,0.51,0.36,0.436153846
2021,Q3,Washington D.C.,0.31,0.25,0.283076923
2021,Q3,Manhattan,0.28,0.2,0.232307692
2021,Q3,Chicago,0.31,0.26,0.294615385
2021,Q3,Houston,0.48,0.47,0.472307692
2021,Q3,Philadelphia,0.34,0.29,0.319230769
2021,Q3,San Francisco,0.22,0.18,0.196923077
2021,Q3,Los Angeles,0.31,0.27,0.287692308
2021,Q3,Dallas/Ft Worth,0.46,0.47,0.463076923
2021,Q3,South Bay/San Jose,0.26,0.21,0.233846154
2021,Q3,Austin,0.48,0.47,0.477692308
2021,Q4,Washington D.C.,0.14,0.32,0.311538462
2021,Q4,Manhattan,0.1,0.29,0.297692308
2021,Q4,Chicago,0.13,0.32,0.303846154
2021,Q4,Houston,0.23,0.5,0.476923077
2021,Q4,Philadelphia,0.2,0.35,0.343846154
2021,Q4,San Francisco,0.1,0.24,0.238461538
2021,Q4,Los Angeles,0.18,0.32,0.321538462
